I let vmstat run over night while ising model monte carlo simulation code was running (it's still running, yikes), starting at around midnight and ending at 10:20 am. It records one datapoint every 20 minuts (1200 seconds) Looks like it was around 40% us (40% of the time it was running non-kernal code, user time)

I count total of 8h and 40 mins worth of log entries.

Explanation of below vmstat table: https://access.redhat.com/solutions/1160343

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6722176 498564 4624264    0    0    23    25   76  175 21  3 75  0  0
 2  0      0 5938224 501364 5491100    0    0     0  1284 1771 8730 39 16 44  0  0
 3  0      0 5020948 504208 6404336    0    0     0  1400 1782 8897 40 17 43  0  0
 2  0      0 4101760 506948 7291188    0    0     0  1325 1770 8890 39 17 43  0  0
 2  0      0 3252856 509524 8114076    0    0     0  1292 1759 8881 39 17 43  0  0
 2  0      0 2441132 512120 8918948    0    0     0  1242 1769 8919 39 17 43  0  0
 3  0      0 2303484 515020 9011160    0    0     0  1394 1792 8879 40 17 43  0  0
 2  0      0 2186372 517608 9097940    0    0     0  1398 1789 8867 40 17 43  0  0
 2  0      0 2157640 520276 9211584    0    0     0  1429 2218 11396 40 18 41  0  0
 2  0      0 2012012 522912 9327132    0    0     0  1416 2247 11645 40 18 41  0  0
 6  0      0 1871316 525472 9435512    0    0     0  1416 2241 11623 40 18 41  0  0
 2  0      0 1653644 528112 9629592    0    0     0  1368 2277 11672 40 18 42  0  0
 2  0      0 1528764 530736 9723400    0    0     0  1242 2298 11712 40 18 42  0  0
 2  0      0 1568076 533388 9739252    0    0     0  1403 2289 11655 40 18 41  0  0
 2  0      0 1443608 536732 9844140    0    0     6  1472 2293 11594 41 18 41  0  0
 2  0      0 1323396 539536 9931540    0    0     0  1599 2248 11551 41 18 41  0  0
 2  0      0 796844 547284 10421240    0    0   127  1669 2388 11585 42 18 40  0  0
 5  0      0 628456 549712 10580748    0    0     0  1204 2219 11619 40 18 42  0  0
 2  0      0 588660 552340 10587652    0    0     0  1387 2290 11653 40 18 42  0  0
 3  0      0 406684 554824 10743108    0    0     0  1319 2261 11649 40 18 42  0  0
 3  0      0 324828 557356 10815568    0    0     0  1399 2328 11691 40 18 42  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0    512 241156 555536 10872232    0    0     1  1439 2283 11641 40 18 42  0  0
 4  0   1024 231856 555636 10941476    0    0     2  1440 2311 11665 40 18 42  0  0
 3  0   1024 231792 557708 10930080    0    0     0  1400 2268 11625 40 18 42  0  0
 3  0   1024 198976 557940 10930840    0    0     1  1431 2321 11680 40 18 42  0  0
 7  0   1024 180912 558308 10798504    0    0     4   938 1948 8820 35 11 53  0  0
 4  0   1792 717784 557788 10105364    0    1   228    87 16256 19432 49 10 41  0  0
